date,open,high,low,close,volume,amount,position
2022-01-04 00:00:00+08:00,494.8,497.0,491.0,494.1,47269.0,23356098816.0,30206.0
2022-01-05 00:00:00+08:00,496.8,505.2,495.4,502.8,134441.0,67347670016.0,30763.0
2022-01-06 00:00:00+08:00,503.3,509.5,498.3,501.0,113525.0,57320901376.0,28042.0
2022-01-07 00:00:00+08:00,512.6,519.7,511.4,519.4,120332.0,62066884608.0,24669.0
2022-01-10 00:00:00+08:00,516.8,517.5,506.5,512.0,92155.0,47146545152.0,14844.0
2022-01-11 00:00:00+08:00,508.9,513.1,504.2,504.6,46818.0,23838806784.0,8209.0
2022-01-12 00:00:00+08:00,510.6,522.1,507.2,518.4,158691.0,81688309760.0,45356.0
2022-01-13 00:00:00+08:00,519.4,527.8,519.1,524.1,124782.0,65367578624.0,47714.0
2022-01-14 00:00:00+08:00,523.2,528.6,521.2,527.0,128615.0,67544855552.0,51791.0
2022-01-17 00:00:00+08:00,528.8,537.7,524.3,534.8,162814.0,86367895552.0,51570.0
2022-01-18 00:00:00+08:00,532.8,544.9,529.5,543.4,109890.0,58938103552.0,56034.0
2022-01-19 00:00:00+08:00,541.1,552.3,538.8,544.6,169080.0,92108042240.0,53224.0
2022-01-20 00:00:00+08:00,545.5,552.0,539.7,545.4,146296.0,79947796480.0,53696.0
2022-01-21 00:00:00+08:00,544.4,551.6,527.7,536.4,183939.0,99336765440.0,51447.0
2022-01-24 00:00:00+08:00,537.3,547.8,534.5,543.8,163670.0,88467365888.0,49769.0
2022-01-25 00:00:00+08:00,540.7,540.9,522.5,533.8,240361.0,127373479936.0,45387.0
2022-01-26 00:00:00+08:00,530.7,540.3,528.1,539.1,151929.0,81074049024.0,36250.0
2022-01-27 00:00:00+08:00,544.0,549.7,539.5,542.6,122569.0,66874499072.0,33647.0
2022-01-28 00:00:00+08:00,551.0,551.2,532.5,534.5,126600.0,68669990144.0,26406.0
2022-02-07 00:00:00+08:00,560.0,571.6,558.2,566.9,41203.0,23358605824.0,28773.0
2022-02-08 00:00:00+08:00,562.0,562.8,553.3,558.4,93369.0,52173653248.0,27237.0
2022-02-09 00:00:00+08:00,549.0,552.3,543.7,544.4,90885.0,49780065536.0,23375.0
2022-02-10 00:00:00+08:00,544.4,553.7,541.9,549.7,82384.0,45226556672.0,21494.0
2022-02-11 00:00:00+08:00,554.6,560.8,544.7,546.1,78802.0,43644758528.0,19384.0
2022-02-14 00:00:00+08:00,560.0,582.0,557.1,576.8,132879.0,75308646400.0,45977.0
2022-02-15 00:00:00+08:00,566.0,578.0,564.0,577.7,142518.0,81288445952.0,49746.0
2022-02-16 00:00:00+08:00,563.3,568.4,553.6,562.1,188973.0,105838415872.0,48488.0
2022-02-17 00:00:00+08:00,568.0,573.9,550.0,565.9,173264.0,98089529344.0,49402.0
2022-02-18 00:00:00+08:00,564.5,570.1,559.5,567.3,198957.0,112342749184.0,50798.0
2022-02-21 00:00:00+08:00,559.5,579.1,556.2,569.5,239083.0,135173509120.0,51239.0
2022-02-22 00:00:00+08:00,573.4,597.5,572.6,596.9,177226.0,103680368640.0,54840.0
2022-02-23 00:00:00+08:00,593.2,596.6,584.0,590.0,178329.0,105239007232.0,52079.0
2022-02-24 00:00:00+08:00,590.0,624.4,587.8,620.8,266122.0,160204300288.0,49643.0
2022-02-25 00:00:00+08:00,635.0,637.0,608.3,612.3,275761.0,171483959296.0,42271.0
2022-02-28 00:00:00+08:00,599.6,622.2,586.2,621.2,257846.0,154521288704.0,38230.0
2022-03-01 00:00:00+08:00,609.9,625.5,608.1,622.8,173902.0,106928357376.0,36771.0
2022-03-02 00:00:00+08:00,642.9,663.9,633.9,663.9,246876.0,160131596288.0,42995.0
2022-03-03 00:00:00+08:00,678.0,719.9,669.1,719.9,230032.0,158004842496.0,38679.0
2022-03-04 00:00:00+08:00,729.8,732.9,683.7,693.2,263674.0,185903505408.0,37148.0
2022-03-07 00:00:00+08:00,706.0,761.4,700.8,761.4,136345.0,97122811904.0,38444.0
2022-03-08 00:00:00+08:00,761.6,803.0,733.2,785.0,270165.0,206390423552.0,37263.0
2022-03-09 00:00:00+08:00,781.9,823.6,768.2,806.6,247280.0,199066730496.0,36586.0
2022-03-10 00:00:00+08:00,760.0,775.8,700.3,700.3,191044.0,141779705856.0,34148.0
2022-03-11 00:00:00+08:00,712.0,731.8,660.3,683.0,268524.0,186695520256.0,32716.0
2022-03-14 00:00:00+08:00,679.0,696.6,667.7,683.5,169079.0,115470340096.0,29469.0
2022-03-15 00:00:00+08:00,674.4,675.6,618.0,628.1,223676.0,144542420992.0,28224.0
2022-03-16 00:00:00+08:00,624.7,641.0,606.1,632.9,199261.0,123753541632.0,27374.0
2022-03-17 00:00:00+08:00,629.0,635.7,604.7,619.4,140686.0,86868099072.0,23523.0
2022-03-18 00:00:00+08:00,639.7,679.6,638.5,676.0,86749.0,56769120000.0,18284.0
2022-03-21 00:00:00+08:00,660.5,684.9,653.2,676.1,184351.0,122947198976.0,28359.0
